date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:34	1044/1044	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264eb592a-414%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/inner-page/icon/checkbox-check.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/inner-page/icon/checkbox-check.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/css/style.css)
21:20:34	201484/201484	---M--	200	added ('OK')	image/png	etag:%2264eb58b4-3130c%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/inner-page/inquary-form-bg2.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/inner-page/inquary-form-bg2.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/css/style.css)
21:20:34	268661/268661	---M--	200	added ('OK')	image/png	etag:%2264eb58a1-41975%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/inner-page/toprated-used-cars.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/inner-page/toprated-used-cars.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/css/style.css)
21:20:34	28306/28306	---M--	200	added ('OK')	image/png	etag:%2264eb58a0-6e92%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/inner-page/category-bg.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/inner-page/category-bg.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/css/style.css)
21:20:35	28172/28172	---M--	200	added ('OK')	image/png	etag:%2264eb58b8-6e0c%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/inner-page/compare-bg.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/inner-page/compare-bg.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/css/style.css)
21:20:35	59728/59728	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dce975-e950%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/sb-logo.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/sb-logo.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:35	56432/56432	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dcead1-dc70%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/home2-logo.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/home2-logo.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:36	282/282	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2014%20Sep%202023%2016:20:35%20GMT	https://demo-egenslab.b-cdn.net/html/drivco/preview/grid-left-sidebar.html	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/grid-left-sidebar.html	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:36	8175/8175	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceac3-1fef%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/trustpilot-logo2.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/trustpilot-logo2.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:36	989/989	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceac5-3dd%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/text-slider-vec.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/text-slider-vec.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:36	3148/3148	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dcead1-c4c%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/suzuki.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/suzuki.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:37	16605/16605	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264eb5955-40dd%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/toyota.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/toyota.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:37	2408/2408	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceac2-968%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/tesla.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/tesla.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:37	65410/65410	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceacd-ff82%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/mazda.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/mazda.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
